tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
242,3,19,23,14,22,17,25,22,2,22,23,19,23,25,15,2
243,4,18,23,13,22,18,25,23,1,22,23,20,23,25,14,3
244,5,17,23,12,22,19,25,24,1,22,23,21,23,25,13,4
245,6,16,23,11,22,19,25,25,1,22,23,22,23,25,12,4
246,7,15,23,10,22,19,25,25,2,22,23,23,23,25,11,4
247,7,14,23,9,22,20,25,25,2,22,23,23,23,25,10,5
248,7,13,23,8,22,21,25,24,2,22,23,23,23,25,9,6
249,8,12,23,7,22,21,25,23,3,22,23,24,23,25,8,7
250,9,11,23,6,22,21,25,22,4,22,23,24,23,25,7,7
251,10,10,23,5,22,22,25,21,5,22,23,24,23,25,6,7
252,10,9,23,4,22,22,25,20,5,22,23,25,23,25,5,8
253,10,8,23,3,22,22,25,19,5,22,23,25,23,25,4,9
254,11,7,23,2,22,21,25,18,6,22,23,25,23,25,3,10
255,11,6,23,1,22,20,25,17,7,22,23,24,23,25,2,11
256,11,5,23,1,22,19,25,16,7,22,23,23,23,25,1,12
257,12,4,23,1,22,18,25,15,7,22,23,22,23,25,1,13
258,13,3,23,2,22,17,25,14,8,22,23,21,23,25,1,14
259,13,2,23,2,22,16,25,13,9,22,23,20,23,25,2,14
260,13,1,23,2,22,15,25,12,10,22,23,19,23,25,2,14
261,14,1,23,3,22,14,25,11,10,22,23,18,23,25,2,15
262,14,1,23,4,22,13,25,10,10,22,23,17,23,25,3,16
263,14,2,23,5,22,12,25,9,11,22,23,16,23,25,3,16
264,15,3,23,6,22,11,25,8,12,22,23,15,23,25,3,16
265,16,3,23,7,22,10,25,7,13,22,23,14,23,25,4,17
266,17,3,23,7,22,9,25,6,13,22,23,13,23,25,5,17
267,17,4,23,7,22,8,25,5,13,22,23,12,23,25,5,17
268,17,5,23,8,22,7,25,4,14,22,23,11,23,25,5,18
269,18,5,23,8,22,6,25,3,14,22,23,10,23,25,6,18
270,18,5,23,8,22,5,25,2,14,22,23,9,23,25,7,18
271,18,6,23,9,22,4,25,1,15,22,23,8,23,25,8,19
272,19,7,23,10,22,3,25,1,15,22,23,7,23,25,9,20
273,20,7,23,11,22,2,25,1,15,22,23,6,23,25,9,20
274,21,7,23,12,22,1,25,2,16,22,23,5,23,25,9,20
275,22,8,23,12,22,1,25,3,16,22,23,4,23,25,10,21
276,23,9,23,12,22,1,25,4,16,22,23,3,23,25,11,22
277,24,9,23,13,22,2,25,5,17,22,23,2,23,25,12,23
278,25,9,23,13,22,3,25,6,18,22,23,1,23,25,12,23
279,25,10,23,13,22,4,25,6,18,22,23,1,23,25,12,23
280,25,11,23,14,21,4,25,6,18,22,23,1,23,25,13,22
281,24,12,23,15,20,4,25,7,19,21,23,2,23,25,14,21
282,23,12,23,15,19,5,25,8,20,20,23,2,23,25,14,20
283,22,12,23,15,18,6,25,8,21,19,23,2,23,25,14,19
284,21,13,23,16,17,6,25,8,22,18,23,3,23,25,15,18
285,20,14,23,17,16,6,25,9,23,17,23,4,23,25,15,17
286,19,15,23,18,15,7,25,10,24,16,23,5,23,25,15,16
287,18,16,23,18,14,8,25,11,24,15,23,6,23,25,16,15
288,17,17,23,18,13,8,25,12,24,14,23,7,23,25,17,14
289,16,17,23,19,12,8,25,13,23,13,23,8,23,25,17,13
290,15,17,23,20,11,9,25,13,22,12,23,8,23,25,17,12
291,14,18,23,21,10,9,25,13,21,11,23,8,23,25,18,11
292,13,18,23,22,9,9,25,14,20,10,23,9,23,25,19,10
293,12,18,23,23,8,10,25,15,19,9,23,10,23,25,20,9
294,11,19,23,23,7,11,25,15,18,8,23,10,23,25,20,8
295,10,19,23,23,6,12,25,15,17,7,23,10,23,25,20,7
296,9,19,23,24,5,13,25,16,16,6,23,11,23,25,21,6
297,8,20,23,25,4,14,25,16,15,5,23,12,23,25,22,5
298,7,21,23,25,3,15,25,16,14,4,23,12,23,25,23,4
299,6,21,23,25,2,15,25,17,13,3,23,12,23,25,23,3
300,5,21,23,24,1,15,25,17,12,2,23,13,23,25,23,2
301,4,22,23,23,1,16,25,17,11,1,23,14,23,25,22,1
302,3,23,23,22,1,17,25,18,10,1,23,15,23,25,21,1
303,2,23,23,21,2,18,25,19,9,1,23,15,23,25,20,1
304,1,23,23,20,3,19,25,19,8,2,23,15,23,25,19,2
305,1,22,23,19,3,19,25,19,7,3,23,16,23,25,18,3
306,1,21,23,18,3,19,25,20,6,3,23,17,23,25,17,3
307,2,20,23,17,4,20,25,21,5,3,23,17,23,25,16,3
308,3,19,23,16,4,20,25,21,4,4,23,17,23,25,15,4
