tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
984,24,23,3,1,1,25,14,6,1,14,17,1,1,15,1,1
985,25,22,2,1,2,24,13,5,1,13,17,1,1,16,1,1
986,24,21,1,1,3,23,12,4,1,12,18,2,1,16,1,1
987,23,20,1,1,4,22,11,3,1,11,18,3,1,16,1,1
988,22,19,1,1,5,21,10,2,1,10,18,4,1,17,1,1
989,21,18,2,1,6,20,9,1,1,9,19,5,1,17,1,1
990,20,17,3,1,7,19,8,1,1,8,20,6,1,17,1,1
991,19,16,4,1,8,18,7,1,1,7,21,7,1,18,1,1
992,18,15,5,1,9,17,6,2,1,6,22,8,1,19,1,1
993,17,14,6,1,10,16,5,3,1,5,23,9,1,20,1,1
994,16,13,7,1,11,15,4,4,1,4,24,10,1,21,1,1
995,15,12,8,1,12,14,3,5,1,3,25,11,1,22,1,1
996,14,11,9,1,13,13,2,6,1,2,24,12,1,23,1,1
997,13,10,10,1,14,12,1,7,1,1,23,13,1,24,1,1
998,12,9,11,1,15,11,1,8,1,1,22,14,1,25,1,1
999,11,8,12,1,16,10,1,9,1,1,21,15,1,24,1,1
1000,10,7,13,1,17,9,2,10,1,2,20,16,1,23,1,1
1001,9,6,14,1,17,8,3,11,1,3,19,17,1,22,1,1
1002,8,5,15,1,17,7,4,12,1,4,18,18,1,21,1,1
1003,7,4,15,1,18,6,5,13,1,5,17,19,1,20,1,1
1004,6,3,15,1,18,5,6,14,1,6,16,19,1,19,1,1
1005,5,2,16,1,18,4,7,15,1,7,15,19,1,18,1,1
1006,4,1,16,1,19,3,8,16,1,8,14,20,1,17,1,1
1007,3,1,16,1,19,2,9,17,1,9,13,20,1,16,1,1
1008,2,1,17,1,19,1,10,18,1,10,12,20,1,15,1,1
1009,1,2,18,1,20,1,11,19,1,11,11,21,1,14,1,1
1010,1,3,19,1,21,1,12,20,1,12,10,21,1,13,1,1
1011,1,4,20,1,22,2,13,21,1,13,9,21,1,12,1,1
1012,2,5,21,1,23,3,14,22,1,14,8,22,1,11,1,1
1013,3,6,22,1,24,4,15,22,1,15,7,23,1,10,1,1
1014,4,7,23,1,25,5,16,22,1,16,6,24,1,9,1,1
1015,5,8,24,1,24,6,17,23,1,17,5,25,1,8,1,1
1016,6,9,25,1,23,7,17,23,1,18,4,24,1,7,1,1
1017,7,10,24,1,22,8,17,23,1,18,3,23,1,6,1,1
1018,8,11,23,1,21,9,18,24,1,18,2,22,1,5,1,1
1019,9,12,22,1,20,10,18,25,1,19,1,21,1,4,1,1
1020,10,13,21,1,19,11,18,24,1,20,1,20,1,3,1,1
1021,11,14,20,1,18,12,19,23,1,21,1,19,1,2,1,1
1022,12,15,19,1,17,13,20,22,1,22,2,18,1,1,1,1
1023,13,16,18,1,16,14,21,21,1,23,3,17,1,1,1,1
1024,14,17,17,1,15,15,22,20,1,24,4,16,1,1,1,1
1025,15,18,16,1,14,16,23,19,1,25,5,15,1,2,1,1
1026,16,19,15,1,13,17,24,18,1,24,6,14,1,3,1,1
1027,17,19,14,1,12,18,25,17,1,23,7,13,1,4,1,1
1028,18,19,13,1,11,19,24,16,1,22,8,12,1,5,1,1
1029,18,20,12,1,10,19,23,15,1,21,9,11,1,6,1,1
1030,18,21,11,1,9,19,22,14,1,20,10,10,1,7,1,1
1031,19,22,10,1,8,20,21,13,1,19,11,9,1,8,1,1
1032,19,23,9,1,7,20,20,12,1,18,12,8,1,9,1,1
1033,19,24,8,1,6,20,19,11,1,17,13,7,1,10,1,1
1034,20,25,7,1,5,21,18,10,1,16,14,6,1,11,1,1
1035,21,24,6,1,4,22,17,9,1,15,15,5,1,12,1,1
1036,22,23,5,1,3,23,16,8,1,14,16,4,1,13,1,1
1037,23,22,4,1,2,24,15,7,1,13,17,3,1,14,1,1
1038,24,21,3,1,1,25,14,6,1,12,18,2,1,15,1,1
