id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger239,16,1,82,105,146,23,41,64,14
passenger240,7,1,82,98,108,16,10,26,15
passenger241,15,1,82,110,146,28,36,64,0
passenger242,19,1,82,118,142,36,24,60,1
passenger243,4,1,82,91,96,9,5,14,2
passenger244,20,1,83,87,118,4,31,35,3
passenger245,15,1,83,97,147,14,50,64,4
passenger246,24,1,83,146,177,63,31,94,5
passenger247,7,1,83,85,143,2,58,60,6
passenger248,23,1,83,235,259,152,24,176,7
passenger249,12,1,84,109,162,25,53,78,8
passenger250,15,1,84,104,144,20,40,60,9
passenger251,17,1,84,88,128,4,40,44,10
passenger252,15,1,85,100,118,15,18,33,11
passenger253,23,1,85,98,124,13,26,39,12
passenger254,6,1,86,90,97,4,7,11,13
passenger255,19,1,86,110,146,24,36,60,14
passenger256,25,1,86,142,174,56,32,88,15
passenger257,7,1,86,100,146,14,46,60,0
passenger258,8,1,86,99,142,13,43,56,1
passenger259,13,1,87,120,156,33,36,69,2
passenger260,19,1,87,96,118,9,22,31,3
passenger261,25,1,87,936,962,849,26,875,4
passenger262,21,1,87,141,177,54,36,90,5
passenger263,21,1,88,105,143,17,38,55,6
passenger264,12,1,88,106,137,18,31,49,7
passenger265,17,1,88,118,162,30,44,74,8
passenger266,7,1,89,92,144,3,52,55,9
passenger267,13,1,89,112,128,23,16,39,10
passenger268,6,1,89,125,132,36,7,43,11
passenger269,2,1,89,121,124,32,3,35,12
passenger270,22,1,89,126,161,37,35,72,13
passenger271,21,1,90,114,146,24,32,56,14
passenger272,14,1,90,127,174,37,47,84,15
passenger273,2,1,91,93,146,2,53,55,0
passenger274,4,1,91,93,142,2,49,51,1
passenger275,4,1,92,105,156,13,51,64,2
passenger276,19,1,92,96,118,4,22,26,3
passenger277,6,1,92,140,147,48,7,55,4
passenger278,8,1,92,96,105,4,9,13,5
passenger279,22,1,92,108,143,16,35,51,6
passenger280,23,1,93,235,259,142,24,166,7
passenger281,20,1,93,125,162,32,37,69,8
passenger282,9,1,94,96,144,2,48,50,9
passenger283,15,1,94,108,128,14,20,34,10
passenger284,6,1,94,125,132,31,7,38,11
passenger285,22,1,95,95,124,0,29,29,12
passenger286,4,1,95,102,161,7,59,66,13
passenger287,19,1,95,110,146,15,36,51,14
passenger288,14,1,95,127,174,32,47,79,15
passenger289,20,1,95,175,212,80,37,117,0
passenger290,12,1,95,105,142,10,37,47,1
passenger291,5,1,95,108,156,13,48,61,2
passenger292,20,1,96,145,174,49,29,78,3
passenger293,17,1,96,101,147,5,46,51,4
passenger294,13,1,96,127,177,31,50,81,5
passenger295,10,1,96,132,143,36,11,47,6
passenger296,10,1,97,102,137,5,35,40,7
passenger297,13,1,97,112,162,15,50,65,8
passenger298,8,1,98,133,144,35,11,46,9
passenger299,8,1,98,137,192,39,55,94,10
passenger300,8,1,98,109,118,11,9,20,11
passenger301,2,1,98,127,130,29,3,32,12
passenger302,24,1,99,198,223,99,25,124,13
passenger303,7,1,99,138,146,39,8,47,14
passenger304,5,1,99,102,108,3,6,9,15
passenger305,5,1,100,138,146,38,8,46,0
passenger306,25,1,100,182,208,82,26,108,1
passenger307,13,1,100,120,156,20,36,56,2
passenger308,9,1,100,108,118,8,10,18,3
passenger309,11,1,101,133,147,32,14,46,4
passenger310,4,1,101,116,177,15,61,76,5
passenger311,9,1,101,157,169,56,12,68,6
passenger312,7,1,102,127,137,25,10,35,7
passenger313,21,1,103,128,162,25,34,59,8
passenger314,3,1,104,150,210,46,60,106,9
passenger315,12,1,104,115,128,11,13,24,10
passenger316,20,1,104,161,190,57,29,86,11
passenger317,22,1,104,167,194,63,27,90,12
passenger318,14,1,106,114,161,8,47,55,13
passenger319,7,1,107,156,206,49,50,99,14
passenger320,10,1,107,119,174,12,55,67,15
passenger321,7,1,107,134,146,27,12,39,0
passenger322,17,1,108,112,142,4,30,34,1
