id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger181,4,3,59,59,62,0,3,3,0
passenger182,15,3,59,62,92,3,30,33,7
passenger183,17,14,59,62,67,3,5,8,6
passenger184,17,13,60,62,70,2,8,10,6
passenger185,20,17,60,81,88,21,7,28,15
passenger186,11,1,60,74,96,14,22,36,7
passenger187,7,4,60,60,65,0,5,5,1
passenger188,1,7,60,60,73,0,13,13,3
passenger189,6,2,61,61,67,0,6,6,2
passenger190,8,13,61,63,75,2,12,14,8
passenger191,5,7,61,62,68,1,6,7,4
passenger192,1,2,61,61,64,0,3,3,3
passenger193,4,12,62,70,85,8,15,23,10
passenger194,17,20,62,137,191,75,54,129,11
passenger195,16,24,62,62,120,0,58,58,11
passenger196,7,20,63,71,110,8,39,47,12
passenger197,24,15,64,67,94,3,27,30,15
passenger198,22,4,64,75,117,11,42,53,15
passenger199,22,15,65,75,94,10,19,29,15
passenger200,6,2,65,65,75,0,10,10,4
passenger201,18,11,66,121,164,55,43,98,14
passenger202,8,10,67,102,130,35,28,63,8
passenger203,25,11,68,70,102,2,32,34,15
passenger204,2,7,69,69,76,0,7,7,2
passenger205,4,18,70,78,106,8,28,36,12
passenger206,21,22,70,128,131,58,3,61,14
passenger207,16,20,70,153,211,83,58,141,14
passenger208,11,16,71,71,82,0,11,11,8
passenger209,3,14,71,127,161,56,34,90,10
passenger210,14,1,72,72,118,0,46,46,9
passenger211,14,19,73,75,124,2,49,51,14
passenger212,10,14,73,98,142,25,44,69,8
passenger213,8,7,73,73,76,0,3,3,5
passenger214,4,9,74,74,81,0,7,7,1
passenger215,21,24,74,78,155,4,77,81,15
passenger216,16,12,75,76,99,1,23,24,9
passenger217,11,16,76,76,127,0,51,51,7
passenger218,20,11,76,81,102,5,21,26,15
passenger219,15,12,76,89,99,13,10,23,9
passenger220,8,2,76,77,89,1,12,13,3
passenger221,11,18,76,86,121,10,35,45,14
passenger222,18,25,76,141,158,65,17,82,15
passenger223,1,20,77,82,122,5,40,45,13
passenger224,20,11,77,81,102,4,21,25,15
passenger225,8,9,77,77,80,0,3,3,3
passenger226,18,22,78,141,151,63,10,73,15
passenger227,17,13,78,81,93,3,12,15,9
passenger228,17,2,78,81,115,3,34,37,9
passenger229,16,2,78,78,115,0,37,37,9
passenger230,24,23,78,155,162,77,7,84,15
passenger231,13,10,79,89,98,10,9,19,8
passenger232,19,16,79,84,91,5,7,12,15
passenger233,18,13,80,171,182,91,11,102,15
passenger234,6,2,80,81,87,1,6,7,2
passenger235,8,14,81,83,121,2,38,40,7
passenger236,11,13,81,81,89,0,8,8,10
passenger237,7,24,81,87,120,6,33,39,11
passenger238,10,22,82,89,131,7,42,49,14
passenger239,10,12,82,110,155,28,45,73,10
passenger240,16,7,82,82,105,0,23,23,8
passenger241,6,10,82,101,107,19,6,25,6
passenger242,21,4,82,148,203,66,55,121,15
passenger243,11,17,82,82,95,0,13,13,10
passenger244,18,11,83,311,354,228,43,271,15
passenger245,3,1,83,83,87,0,4,4,0
passenger246,12,21,83,83,128,0,45,45,14
passenger247,1,23,83,83,129,0,46,46,13
passenger248,17,1,83,83,118,0,35,35,9
passenger249,9,6,84,84,91,0,7,7,1
passenger250,24,14,84,155,179,71,24,95,15
passenger251,9,7,84,84,88,0,4,4,1
passenger252,15,1,85,85,119,0,34,34,8
passenger253,7,5,85,85,89,0,4,4,5
passenger254,16,17,86,86,147,0,61,61,9
passenger255,12,4,86,86,124,0,38,38,10
passenger256,10,22,86,262,312,176,50,226,14
passenger257,6,5,86,95,98,9,3,12,3
passenger258,3,21,86,87,125,1,38,39,13
passenger259,3,15,87,87,116,0,29,29,6
passenger260,25,17,87,158,174,71,16,87,15
passenger261,11,6,87,107,118,20,11,31,10
passenger262,1,4,87,87,92,0,5,5,0
passenger263,24,4,88,239,285,151,46,197,15
passenger264,1,21,88,175,209,87,34,121,12
passenger265,11,9,88,107,113,19,6,25,10
passenger266,18,14,89,339,347,250,8,258,15
passenger267,23,12,89,162,185,73,23,96,15
passenger268,18,22,89,478,488,389,10,399,15
passenger269,12,8,89,92,102,3,10,13,8
passenger270,25,6,89,242,279,153,37,190,15
passenger271,1,15,90,93,116,3,23,26,6
passenger272,25,3,90,242,288,152,46,198,15
passenger273,22,21,91,151,166,60,15,75,15
passenger274,24,11,91,239,266,148,27,175,15
passenger275,7,13,92,108,118,16,10,26,7
passenger276,4,22,92,181,226,89,45,134,13
passenger277,17,13,92,95,103,3,8,11,10
passenger278,13,18,92,95,104,3,9,12,11
passenger279,14,21,92,97,148,5,51,56,15
passenger280,24,16,93,239,255,146,16,162,15
passenger281,19,8,93,144,195,51,51,102,15
passenger282,1,11,94,94,110,0,16,16,6
passenger283,22,4,94,151,203,57,52,109,15
passenger284,14,5,94,138,173,44,35,79,9
passenger285,11,4,95,95,114,0,19,19,8
passenger286,19,21,95,144,148,49,4,53,15
passenger287,19,18,95,144,171,49,27,76,15
passenger288,6,14,95,105,121,10,16,26,7
passenger289,3,10,95,100,113,5,13,18,7
