id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger181,4,3,59,79,82,20,3,23,3
passenger182,15,3,59,62,90,3,28,31,0
passenger183,17,14,59,62,67,3,5,8,12
passenger184,17,13,60,61,70,1,9,10,6
passenger185,20,17,60,62,69,2,7,9,15
passenger186,11,1,60,60,89,0,29,29,3
passenger187,7,4,60,70,79,10,9,19,3
passenger188,1,7,60,157,172,97,15,112,2
passenger189,6,2,61,72,82,11,10,21,4
passenger190,8,13,61,66,110,5,44,49,4
passenger191,5,7,61,75,100,14,25,39,4
passenger192,1,2,61,157,160,96,3,99,2
passenger193,4,12,62,78,107,16,29,45,4
passenger194,17,20,62,62,93,0,31,31,6
passenger195,16,24,62,64,81,2,17,19,13
passenger196,7,20,63,69,126,6,57,63,4
passenger197,24,15,64,69,92,5,23,28,14
passenger198,22,4,64,65,115,1,50,51,14
passenger199,22,15,65,65,92,0,27,27,14
passenger200,6,2,65,71,79,6,8,14,8
passenger201,18,11,66,66,83,0,17,17,15
passenger202,8,10,67,67,91,0,24,24,8
passenger203,25,11,68,72,100,4,28,32,14
passenger204,2,7,69,76,87,7,11,18,7
passenger205,4,18,70,71,99,1,28,29,2
passenger206,21,22,70,73,77,3,4,7,13
passenger207,16,20,70,72,142,2,70,72,15
passenger208,11,16,71,71,122,0,51,51,1
passenger209,3,14,71,73,98,2,25,27,7
passenger210,14,1,72,76,103,4,27,31,15
passenger211,14,19,73,76,139,3,63,66,15
passenger212,10,14,73,73,95,0,22,22,10
passenger213,8,7,73,77,80,4,3,7,10
passenger214,4,9,74,74,91,0,17,17,5
passenger215,21,24,74,74,81,0,7,7,13
passenger216,16,12,75,89,97,14,8,22,14
passenger217,11,16,76,83,130,7,47,54,15
passenger218,20,11,76,79,100,3,21,24,14
passenger219,15,12,76,92,97,16,5,21,14
passenger220,8,2,76,76,90,0,14,14,1
passenger221,11,18,76,83,136,7,53,60,15
passenger222,18,25,76,85,175,9,90,99,14
passenger223,1,20,77,79,116,2,37,39,7
passenger224,20,11,77,79,100,2,21,23,14
passenger225,8,9,77,78,81,1,3,4,12
passenger226,18,22,78,156,166,78,10,88,14
passenger227,17,13,78,153,199,75,46,121,14
passenger228,17,2,78,153,221,75,68,143,14
passenger229,16,2,78,150,221,72,71,143,14
passenger230,24,23,78,81,84,3,3,6,13
passenger231,13,10,79,79,86,0,7,7,15
passenger232,19,16,79,82,89,3,7,10,14
passenger233,18,13,80,188,199,108,11,119,14
passenger234,6,2,80,80,90,0,10,10,1
passenger235,8,14,81,81,93,0,12,12,2
passenger236,11,13,81,87,94,6,7,13,12
passenger237,7,24,81,81,114,0,33,33,9
passenger238,10,22,82,84,109,2,25,27,12
passenger239,10,12,82,84,91,2,7,9,12
passenger240,16,7,82,83,138,1,55,56,6
passenger241,6,10,82,82,106,0,24,24,1
passenger242,21,4,82,82,103,0,21,21,11
passenger243,11,17,82,87,100,5,13,18,12
passenger244,18,11,83,293,312,210,19,229,14
passenger245,3,1,83,83,89,0,6,6,3
passenger246,12,21,83,91,106,8,15,23,12
passenger247,1,23,83,85,133,2,48,50,4
passenger248,17,1,83,86,148,3,62,65,6
passenger249,9,6,84,84,143,0,59,59,2
passenger250,24,14,84,103,119,19,16,35,6
passenger251,9,7,84,134,140,50,6,56,2
passenger252,15,1,85,92,123,7,31,38,14
passenger253,7,5,85,86,98,1,12,13,8
passenger254,16,17,86,150,153,64,3,67,14
passenger255,12,4,86,90,146,4,56,60,9
passenger256,10,22,86,86,108,0,22,22,9
passenger257,6,5,86,86,97,0,11,11,5
passenger258,3,21,86,87,129,1,42,43,1
passenger259,3,15,87,87,119,0,32,32,1
passenger260,25,17,87,91,112,4,21,25,13
passenger261,11,6,87,87,141,0,54,54,12
passenger262,1,4,87,87,95,0,8,8,4
passenger263,24,4,88,88,138,0,50,50,13
passenger264,1,21,88,88,129,0,41,41,4
passenger265,11,9,88,88,134,0,46,46,12
passenger266,18,14,89,89,119,0,30,30,6
passenger267,23,12,89,100,123,11,23,34,6
passenger268,18,22,89,89,97,0,8,8,6
passenger269,12,8,89,90,134,1,44,45,9
passenger270,25,6,89,91,134,2,43,45,13
passenger271,1,15,90,90,114,0,24,24,4
passenger272,25,3,90,91,141,1,50,51,13
passenger273,22,21,91,97,108,6,11,17,6
passenger274,24,11,91,103,130,12,27,39,6
passenger275,7,13,92,99,107,7,8,15,3
passenger276,4,22,92,94,125,2,31,33,3
passenger277,17,13,92,101,128,9,27,36,10
passenger278,13,18,92,92,104,0,12,12,10
passenger279,14,21,92,95,111,3,16,19,10
passenger280,24,16,93,103,115,10,12,22,6
passenger281,19,8,93,102,137,9,35,44,2
passenger282,1,11,94,96,108,2,12,14,0
passenger283,22,4,94,96,138,2,42,44,13
passenger284,14,5,94,94,143,0,49,49,9
passenger285,11,4,95,100,115,5,15,20,14
passenger286,19,21,95,107,111,12,4,16,10
passenger287,19,18,95,106,109,11,3,14,13
passenger288,6,14,95,96,116,1,20,21,1
passenger289,3,10,95,99,122,4,23,27,15
passenger290,13,17,95,95,108,0,13,13,7
passenger291,3,21,95,99,145,4,46,50,15
passenger292,12,23,96,97,169,1,72,73,14
passenger293,14,18,96,96,104,0,8,8,10
passenger294,21,4,96,100,138,4,38,42,13
passenger295,13,1,96,141,224,45,83,128,14
passenger296,12,21,97,97,161,0,64,64,14
passenger297,22,8,97,97,128,0,31,31,13
passenger298,10,14,98,103,144,5,41,46,14
passenger299,10,5,98,103,112,5,9,14,14
passenger300,8,11,98,100,109,2,9,11,1
passenger301,13,24,98,113,136,15,23,38,1
passenger302,14,10,99,99,156,0,57,57,7
passenger303,17,20,99,99,104,0,5,5,9
passenger304,11,13,99,100,141,1,41,42,14
passenger305,6,22,100,101,123,1,22,23,5
passenger306,22,5,100,109,146,9,37,46,2
passenger307,9,7,100,103,162,3,59,62,1
passenger308,24,2,100,103,145,3,42,45,6
passenger309,6,8,101,101,105,0,4,4,5
passenger310,15,7,101,104,165,3,61,64,7
passenger311,14,19,101,101,112,0,11,11,7
passenger312,21,3,102,102,141,0,39,39,13
passenger313,4,3,103,103,106,0,3,3,11
passenger314,23,17,104,111,123,7,12,19,9
passenger315,14,20,104,111,121,7,10,17,3
passenger316,15,6,104,104,168,0,64,64,7
passenger317,13,18,104,107,117,3,10,13,3
passenger318,1,16,106,114,139,8,25,33,11
passenger319,13,2,107,107,186,0,79,79,3
passenger320,7,12,107,109,124,2,15,17,8
passenger321,9,8,107,108,148,1,40,41,5
passenger322,17,11,108,108,153,0,45,45,7
passenger323,13,20,108,108,121,0,13,13,3
passenger324,3,9,108,108,126,0,18,18,11
passenger325,2,24,108,111,163,3,52,55,11
passenger326,5,21,108,109,145,1,36,37,15
passenger327,5,9,109,109,119,0,10,10,15
passenger328,16,21,110,117,129,7,12,19,4
passenger329,5,6,110,110,113,0,3,3,15
passenger330,23,9,110,114,134,4,20,24,12
passenger331,6,19,110,113,139,3,26,29,15
passenger332,3,22,111,119,166,8,47,55,14
passenger333,22,8,111,111,137,0,26,26,12
passenger334,3,11,112,119,137,7,18,25,14
passenger335,9,24,112,113,148,1,35,36,8
passenger336,16,24,112,115,193,3,78,81,13
passenger337,19,18,113,113,136,0,23,23,7
passenger338,3,2,114,228,333,114,105,219,14
passenger339,2,15,114,126,147,12,21,33,14
passenger340,6,25,114,114,155,0,41,41,15
passenger341,4,24,115,115,172,0,57,57,14
passenger342,17,3,115,117,154,2,37,39,10
passenger343,2,10,115,221,243,106,22,128,14
passenger344,9,8,115,115,180,0,65,65,8
passenger345,14,4,116,116,171,0,55,55,1
passenger346,4,18,116,116,156,0,40,40,14
passenger347,25,7,116,116,140,0,24,24,2
passenger348,24,9,117,124,159,7,35,42,7
passenger349,9,3,117,117,189,0,72,72,8
passenger350,11,13,117,121,127,4,6,10,8
passenger351,17,4,117,117,151,0,34,34,10
passenger352,5,11,118,120,130,2,10,12,11
passenger353,2,4,118,221,231,103,10,113,14
passenger354,16,24,118,118,136,0,18,18,4
passenger355,15,4,119,119,171,0,52,52,1
passenger356,25,14,120,127,146,7,19,26,7
passenger357,18,5,120,121,144,1,23,24,12
passenger358,15,2,120,123,158,3,35,38,10
passenger359,16,6,120,120,147,0,27,27,10
passenger360,23,2,121,121,174,0,53,53,7
passenger361,17,4,121,121,186,0,65,65,4
passenger362,18,13,121,121,128,0,7,7,12
passenger363,25,17,123,127,140,4,13,17,7
passenger364,10,3,123,123,141,0,18,18,13
passenger365,15,12,124,124,131,0,7,7,10
passenger366,2,15,124,144,176,20,32,52,13
passenger367,6,1,124,134,147,10,13,23,13
passenger368,10,6,124,124,134,0,10,10,13
passenger369,2,11,124,144,170,20,26,46,13
passenger370,6,4,125,134,138,9,4,13,13
passenger371,12,2,125,125,145,0,20,20,6
passenger372,25,12,125,127,150,2,23,25,7
passenger373,25,23,125,217,221,92,4,96,7
passenger374,25,14,126,217,238,91,21,112,7
passenger375,11,18,126,130,149,4,19,23,11
passenger376,3,22,126,228,269,102,41,143,14
passenger377,9,1,126,126,223,0,97,97,11
passenger378,6,7,126,321,340,195,19,214,14
passenger379,1,17,126,147,180,21,33,54,13
passenger380,3,22,126,330,363,204,33,237,14
passenger381,12,18,127,127,184,0,57,57,6
passenger382,9,4,127,164,242,37,78,115,13
passenger383,5,17,128,234,256,106,22,128,14
passenger384,18,7,128,129,151,1,22,23,5
passenger385,9,24,129,134,194,5,60,65,6
passenger386,22,11,129,132,155,3,23,26,1
passenger387,7,8,130,131,160,1,29,30,13
passenger388,14,15,130,130,133,0,3,3,8
passenger389,5,2,131,324,333,193,9,202,14
passenger390,13,20,131,134,153,3,19,22,11
passenger391,4,11,131,138,170,7,32,39,13
passenger392,5,7,132,153,157,21,4,25,13
passenger393,16,8,132,133,148,1,15,16,5
passenger394,7,25,133,213,280,80,67,147,14
passenger395,5,24,133,153,193,20,40,60,13
passenger396,14,2,133,137,162,4,25,29,5
passenger397,11,15,133,134,181,1,47,48,10
passenger398,7,14,133,213,251,80,38,118,14
passenger399,17,7,133,133,185,0,52,52,15
passenger400,21,12,134,134,152,0,18,18,0
passenger401,25,3,135,225,272,90,47,137,3
passenger402,9,19,135,207,260,72,53,125,14
passenger403,23,6,136,149,188,13,39,52,15
