tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
140,17,22,7,22,22,13,7,17,20,6,10,16,7,4,12,19
141,16,21,7,22,21,12,6,17,20,6,10,16,6,3,13,19
142,15,20,7,21,21,11,5,17,20,6,9,17,6,3,13,20
143,14,19,6,21,21,10,4,17,21,5,8,17,6,3,13,20
144,14,18,6,21,21,9,3,16,22,5,8,17,5,2,14,20
145,14,18,6,20,20,9,2,15,23,5,8,17,5,2,14,21
146,14,18,5,20,19,9,2,14,23,4,7,17,5,2,14,21
147,13,17,5,20,19,9,2,14,23,4,6,17,5,1,15,21
148,13,17,5,19,19,8,1,14,24,4,6,17,4,1,15,22
149,13,17,5,19,18,8,1,13,24,3,6,18,3,1,15,23
150,13,16,4,19,17,8,1,12,24,3,5,18,3,2,16,23
151,13,15,4,19,17,7,2,12,23,3,4,18,3,3,16,23
152,12,14,4,19,17,7,3,12,23,4,4,19,4,4,16,24
153,12,13,3,18,16,7,3,11,23,5,4,20,5,5,17,24
154,12,12,2,18,16,6,3,11,22,6,3,20,5,5,17,24
155,11,11,2,18,16,6,4,11,21,7,3,20,5,5,17,25
156,11,11,2,17,15,6,4,10,21,8,3,21,6,6,18,25
157,11,11,1,17,15,5,4,10,21,8,3,21,7,7,18,25
158,10,11,1,17,15,4,4,10,20,8,2,21,8,7,18,24
159,10,10,1,16,14,3,4,9,20,9,2,22,9,7,19,23
160,10,9,2,15,13,3,4,9,20,9,2,23,9,8,20,22
161,9,8,2,15,13,3,5,9,19,9,3,23,9,8,21,21
162,8,7,2,15,13,2,6,8,18,10,4,23,10,8,21,20
163,7,7,2,15,13,2,6,8,17,10,5,24,10,8,21,19
164,7,7,2,15,13,2,6,8,17,10,6,24,10,9,21,18
165,7,7,3,14,13,3,7,7,17,11,7,24,11,9,21,17
166,6,7,4,13,12,4,8,7,16,11,8,25,11,9,22,16
167,6,6,4,13,12,5,9,7,15,11,8,25,11,10,22,15
168,6,5,4,13,12,6,9,6,14,12,8,25,12,10,22,15
169,7,5,4,13,11,7,9,6,13,12,9,25,13,10,23,15
170,8,5,5,12,11,8,10,6,12,12,10,24,14,11,23,14
171,9,4,6,12,11,9,11,5,12,13,11,23,14,11,23,13
172,10,4,7,12,11,10,12,4,12,14,12,22,14,11,24,12
173,11,4,7,11,11,10,13,3,11,14,13,22,15,12,24,12
174,12,3,7,10,10,10,13,2,11,14,13,22,16,13,24,12
175,13,2,8,9,9,10,13,2,11,14,13,21,16,14,25,12
176,14,1,8,9,9,10,14,2,10,15,14,20,16,15,25,12
177,14,1,8,9,9,11,15,1,10,15,14,20,17,15,25,11
178,14,1,9,8,8,11,15,1,10,15,14,20,17,15,24,11
179,15,1,10,7,8,11,15,1,9,15,14,19,17,16,23,11
180,16,2,10,6,8,12,16,2,8,16,14,19,18,17,22,10
181,16,3,10,5,7,12,16,2,8,17,15,19,18,17,22,9
182,16,3,11,5,7,12,16,2,8,18,15,18,18,17,22,9
183,17,3,11,5,7,13,17,3,7,19,15,18,19,18,21,9
184,17,4,11,4,6,13,18,4,6,19,16,18,20,19,20,8
185,17,4,12,3,5,13,18,5,5,19,16,18,20,20,19,7
186,18,4,12,2,4,14,18,6,5,20,16,18,20,21,19,7
187,19,5,12,2,4,14,19,7,5,20,17,17,21,21,19,7
188,20,6,13,2,4,14,20,8,4,20,18,16,22,21,18,6
189,21,7,14,1,3,14,20,8,3,21,19,16,23,22,18,6
190,21,8,15,1,3,15,20,8,3,22,20,16,23,23,18,6
191,21,9,16,1,3,16,21,9,3,23,21,15,23,23,17,5
192,22,10,16,2,2,16,22,9,4,23,22,14,24,23,16,5
193,23,11,16,3,2,16,23,9,5,23,23,14,25,24,16,5
194,24,11,17,4,2,17,24,10,6,24,23,14,25,24,16,4
195,24,11,18,5,3,18,24,11,6,24,23,13,25,24,15,3
196,24,11,19,6,4,18,24,12,6,24,22,13,25,25,14,2
197,24,12,19,7,5,18,23,13,7,23,21,13,25,25,14,2
198,24,13,19,8,6,18,23,13,8,22,20,12,24,25,14,2
199,25,14,20,9,6,18,23,13,9,22,19,11,23,24,13,2
200,25,14,20,10,6,18,23,14,10,22,19,10,22,24,13,1
201,25,14,20,11,6,19,22,15,11,21,19,9,21,24,13,1
202,24,15,21,12,6,20,21,15,12,20,18,8,21,23,12,1
203,23,16,22,13,7,21,20,15,13,19,17,8,21,22,11,2
204,22,16,23,14,7,22,19,16,14,18,17,8,20,21,11,3
205,21,16,23,15,7,22,19,17,14,17,17,7,19,20,11,3
206,20,17,23,16,8,22,19,17,14,16,16,7,18,19,10,3
207,19,18,22,17,9,23,19,17,15,15,15,7,18,18,9,4
208,18,19,21,17,9,23,18,18,15,14,14,6,18,18,9,5
209,17,19,21,17,9,23,17,18,15,13,13,5,17,18,9,5
210,16,19,21,18,10,24,16,18,16,13,12,5,16,18,8,5
211,15,20,21,18,10,24,15,19,17,13,12,5,16,18,8,6
212,14,21,21,18,10,24,14,20,18,13,12,4,16,17,8,7
213,14,21,20,19,11,25,13,21,19,12,12,4,16,16,7,8
214,14,21,19,20,12,25,12,22,20,12,12,4,15,16,7,8
215,13,22,18,21,13,25,11,23,21,12,11,4,15,16,7,8
216,12,22,18,21,13,24,10,24,22,12,11,4,15,15,7,8
217,11,22,18,21,13,24,9,25,22,12,11,3,15,15,6,9
218,11,22,18,22,13,24,9,25,22,11,10,3,15,15,5,10
219,11,23,18,23,14,23,9,25,23,10,9,3,14,14,4,11
220,10,24,17,23,14,22,8,24,23,10,9,2,14,13,3,12
221,9,25,17,23,14,21,8,23,23,10,9,2,14,13,2,12
222,9,25,17,24,15,21,8,23,22,9,8,2,13,13,2,12
223,9,25,16,24,16,21,8,23,21,8,7,1,13,12,2,13
224,9,24,15,24,17,20,7,22,20,8,7,1,13,11,1,13
225,8,23,14,25,17,19,6,22,19,8,7,1,12,11,1,13
226,8,23,13,25,17,18,6,22,18,7,6,2,12,11,1,14
227,8,23,13,25,18,18,6,21,17,6,6,3,12,10,2,15
228,7,22,13,24,18,18,5,20,16,5,6,4,11,9,3,15
229,6,21,12,23,18,17,4,19,16,4,5,5,11,9,3,15
230,5,21,12,23,18,16,4,18,16,4,5,5,11,9,3,16
231,5,21,12,23,18,15,4,18,15,4,5,5,10,9,4,17
232,5,20,11,22,19,14,3,18,14,4,4,6,9,9,4,17
233,4,19,10,21,20,14,3,17,14,3,4,7,8,9,4,17
234,4,18,10,20,20,14,3,16,14,3,4,8,8,8,5,18
235,4,17,10,20,20,13,2,16,13,3,3,9,8,7,5,19
236,3,16,9,20,21,12,2,16,12,2,2,10,7,7,5,19
237,3,15,8,20,21,11,2,15,11,2,2,10,7,7,6,19
238,3,14,7,19,21,10,1,14,10,2,2,10,7,6,7,20
239,2,14,7,18,22,9,1,14,9,1,2,11,6,6,8,21
240,2,14,7,18,22,9,1,14,8,1,3,12,6,6,9,21
241,2,13,6,18,22,9,2,13,8,1,4,12,6,5,9,21
242,1,12,6,17,22,9,3,12,8,1,5,12,5,4,9,22
243,1,12,6,17,22,8,4,12,7,1,6,13,4,4,10,23
244,1,12,5,17,23,7,5,12,7,2,7,13,3,4,10,23
245,1,11,5,16,23,7,6,11,7,3,8,13,3,3,10,23
246,2,11,5,16,23,7,7,10,6,4,9,14,3,2,11,24
247,3,11,4,16,24,6,7,9,5,5,9,14,2,2,12,25
248,4,10,3,15,24,6,7,9,5,6,9,14,2,2,12,25
249,4,9,2,14,24,6,8,9,5,6,10,15,2,1,12,25
250,4,8,2,13,24,5,9,8,4,6,11,15,1,1,13,24
251,5,7,2,12,24,5,10,7,3,7,12,15,1,1,14,23
252,6,6,3,11,25,5,10,6,3,8,13,15,1,2,14,22
253,7,5,4,11,24,4,10,5,3,9,13,16,1,3,14,21
254,8,4,5,11,23,3,11,5,2,10,13,16,1,3,15,20
255,9,3,6,10,22,2,11,5,1,10,14,16,2,3,16,20
