tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
344,21,14,15,5,14,10,11,17,13,14,9,23,17,10,22,10
345,20,15,15,4,15,11,10,17,13,14,8,24,17,11,21,10
346,19,16,16,3,16,11,9,17,13,14,7,25,17,11,20,11
347,18,16,16,2,17,11,8,17,14,15,6,24,18,11,19,12
348,17,16,16,1,18,12,7,18,15,15,5,23,19,12,18,12
349,16,17,17,1,19,13,6,18,15,15,4,22,20,13,17,12
350,15,17,18,1,20,14,5,18,15,16,3,21,21,14,16,13
351,14,17,19,2,21,15,4,19,16,16,2,20,22,14,15,13
352,13,18,20,3,22,16,3,19,16,16,1,19,23,14,14,13
353,12,19,21,4,23,17,2,19,16,17,1,18,24,15,13,14
354,11,20,22,4,24,18,1,20,17,17,1,17,25,16,12,15
355,10,21,23,4,25,18,1,21,17,17,2,16,24,17,11,16
356,9,22,24,5,24,18,1,22,17,18,2,15,23,18,10,16
357,8,23,25,6,23,19,2,23,18,19,2,14,22,19,9,16
358,7,24,24,6,22,19,3,24,18,20,3,13,21,20,8,17
359,6,23,23,6,21,19,3,23,18,21,3,12,20,21,7,18
360,5,22,22,7,20,20,3,22,19,22,3,11,19,22,6,19
361,4,21,21,8,19,21,4,21,20,22,4,10,18,23,5,20
362,3,20,20,8,18,22,4,20,21,22,5,9,17,24,4,21
363,2,19,19,8,17,23,4,19,22,23,5,8,16,25,3,22
364,1,18,18,9,16,24,5,18,23,23,5,7,15,24,2,23
365,1,17,17,10,15,23,6,17,24,23,6,6,14,23,1,24
366,1,16,16,11,14,22,6,16,25,24,7,5,13,22,1,25
367,2,15,15,12,13,21,6,15,24,25,8,4,12,21,1,24
368,3,14,14,13,12,20,7,14,23,24,9,3,11,20,2,23
369,4,13,13,13,11,19,8,13,22,23,10,2,10,19,2,22
370,4,12,12,13,10,18,9,12,21,22,10,1,9,18,2,21
371,4,11,11,13,9,17,9,11,20,21,10,1,8,17,3,20
372,5,10,10,13,8,16,9,10,19,20,11,1,7,16,3,19
373,5,9,9,14,7,15,10,9,18,19,12,2,6,15,3,18
374,5,8,8,14,6,14,11,8,17,18,12,3,5,14,4,17
375,6,7,7,14,5,13,11,7,16,17,12,3,4,13,5,16
376,6,6,6,15,4,12,11,6,15,16,13,3,3,12,5,15
377,6,5,5,16,3,11,12,5,14,15,13,4,2,11,5,14
378,7,4,4,16,2,10,13,4,13,14,13,5,1,10,6,13
379,7,3,3,16,1,9,14,3,12,13,14,5,1,9,6,12
380,7,2,2,17,1,8,14,2,11,12,15,5,1,8,6,11
381,8,1,1,18,1,7,14,1,10,11,16,6,2,7,7,10
382,9,1,1,19,2,6,15,1,9,10,16,6,2,6,7,9
383,9,1,1,20,3,5,16,1,8,9,16,6,2,5,7,8
384,9,2,2,20,3,4,17,2,7,8,17,7,3,4,8,7
385,10,3,3,20,3,3,18,2,6,7,18,7,4,3,9,6
386,10,4,3,21,4,2,18,2,5,6,19,7,5,2,10,5
387,10,5,3,22,5,1,18,3,4,5,20,8,5,1,10,4
388,11,6,4,23,6,1,19,4,3,4,20,9,5,1,10,3
389,11,7,5,24,7,1,20,5,2,3,20,9,6,1,11,2
